Mouse_Food,Time,Diet,Treatment,calories,Water_weight,Ratio_cal_weight,Ratio_wat_bodyweight
17,nine,WD,BBS,99,19,2.675675676,0.513513514
18,nine,WD,BBS,85.5,17,2.310810811,0.459459459
19,nine,WD,BBS,99,14,2.475,0.35
20,nine,WD,BBS,117,20,3.162162162,0.540540541
33,nine,WD,BBS,103.5,20,2.875,0.555555556
34,nine,WD,BBS,81,17,2.53125,0.53125
35,nine,WD,BBS,99,19,2.675675676,0.513513514
36,nine,WD,BBS,94.5,17,2.486842105,0.447368421
5,nine,CD,BBS,114,21,3.8,0.7
6,nine,CD,BBS,,27,,
7,nine,CD,BBS,120,23,3.870967742,0.741935484
8,nine,CD,BBS,129,27,4.3,0.9
21,nine,CD,BBS,87,23,3,0.793103448
22,nine,CD,BBS,132,29,4.4,0.966666667
23,nine,CD,BBS,96,24,3,0.75
24,nine,CD,BBS,99,23,3,0.696969697
37,nine,CD,BBS,87,24,3.107142857,0.857142857
38,nine,CD,BBS,99,25,3,0.757575758
39,nine,CD,BBS,93,21,3.1,0.7
40,nine,CD,BBS,84,23,3,0.821428571
9,nine,WD,ATCC,90,25,3.214285714,0.892857143
10,nine,WD,ATCC,108,16,2.918918919,0.432432432
11,nine,WD,ATCC,103.5,22,3.568965517,0.75862069
12,nine,WD,ATCC,94.5,14,2.3625,0.35
25,nine,WD,ATCC,76.5,19,2.467741935,0.612903226
26,nine,WD,ATCC,90,16,2.903225806,0.516129032
27,nine,WD,ATCC,81,15,3.375,0.625
28,nine,WD,ATCC,90,19,2.8125,0.59375
41,nine,WD,ATCC,85.5,19,3.42,0.76
42,nine,WD,ATCC,81,20,3.24,0.8
43,nine,WD,ATCC,85.5,18,2.590909091,0.545454545
44,nine,WD,ATCC,90,17,2.647058824,0.5
13,nine,CD,ATCC,108,21,3.857142857,0.75
14,nine,CD,ATCC,,,,
15,nine,CD,ATCC,105,22,3.75,0.785714286
16,nine,CD,ATCC,81,24,2.793103448,0.827586207
29,nine,CD,ATCC,93,24,3.444444444,0.888888889
30,nine,CD,ATCC,,,,
31,nine,CD,ATCC,93,23,2.90625,0.71875
32,nine,CD,ATCC,87,22,3.222222222,0.814814815
45,nine,CD,ATCC,96,24,3.428571429,0.857142857
46,nine,CD,ATCC,63,21,1.96875,0.65625
47,nine,CD,ATCC,84,21,3,0.75
48,nine,CD,ATCC,96,28,3,0.875
1,ten,WD,BBS,108,,2.7,
2,ten,WD,BBS,90,,2.571428571,
3,ten,WD,BBS,90,,3.103448276,
4,ten,WD,BBS,90,,2.903225806,
17,ten,WD,BBS,90,,2.432432432,
18,ten,WD,BBS,99,,2.675675676,
19,ten,WD,BBS,99,,2.414634146,
20,ten,WD,BBS,103.5,,2.957142857,
33,ten,WD,BBS,99,,2.75,
34,ten,WD,BBS,108,,3.176470588,
35,ten,WD,BBS,90,,2.432432432,
36,ten,WD,BBS,99,,2.475,
5,ten,CD,BBS,84,,2.625,
6,ten,CD,BBS,132,,4.258064516,
7,ten,CD,BBS,120,,3.870967742,
8,ten,CD,BBS,111,,3.46875,
21,ten,CD,BBS,96,,3.310344828,
22,ten,CD,BBS,108,,3.483870968,
23,ten,CD,BBS,111,,3.46875,
24,ten,CD,BBS,102,,3.090909091,
37,ten,CD,BBS,96,,3.310344828,
38,ten,CD,BBS,102,,3,
39,ten,CD,BBS,96,,3.2,
40,ten,CD,BBS,93,,3.321428571,
9,ten,WD,ATCC,,,,
10,ten,WD,ATCC,108,,2.918918919,
11,ten,WD,ATCC,103.5,,3.45,
12,ten,WD,ATCC,108,,2.634146341,
25,ten,WD,ATCC,85.5,,0.285,
26,ten,WD,ATCC,94.5,,3.15,
27,ten,WD,ATCC,85.5,,3.5625,
28,ten,WD,ATCC,90,,2.727272727,
41,ten,WD,ATCC,94.5,,3.634615385,
42,ten,WD,ATCC,94.5,,3.78,
43,ten,WD,ATCC,99,,2.911764706,
44,ten,WD,ATCC,103.5,,2.957142857,
13,ten,CD,ATCC,102,,3.517241379,
14,ten,CD,ATCC,,,,
15,ten,CD,ATCC,120,,4.137931034,
16,ten,CD,ATCC,,,0,
29,ten,CD,ATCC,90,,3.214285714,
30,ten,CD,ATCC,,,,
31,ten,CD,ATCC,114,,3.677419355,
32,ten,CD,ATCC,120,,4.615384615,
45,ten,CD,ATCC,96,,3.428571429,
46,ten,CD,ATCC,84,,2.625,
47,ten,CD,ATCC,93,,3.321428571,
48,ten,CD,ATCC,108,,3.483870968,
